date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
9052019,15:00,16:00,0,0,0
9052019,16:00,17:00,0,0,0
9052019,17:00,18:00,0,0,0
9052019,18:00,19:00,0,0,0
9052019,19:00,20:00,0,0,0
9052019,20:00,21:00,0,0,0
9052019,21:00,22:00,0,0,0
9052019,22:00,23:00,0,0,0
9052019,23:00,00:00,0,0,0
10052019,00:00,01:00,0,0,0
10052019,01:00,02:00,0,0,0
10052019,02:00,03:00,0,0,0
10052019,03:00,04:00,0,0,0
10052019,04:00,05:00,0,0,0
10052019,05:00,06:00,0,0,0
10052019,06:00,07:00,0,0,0
10052019,07:00,08:00,0,0,0
10052019,08:00,09:00,0,0,0
10052019,09:00,10:00,0,0,0
10052019,10:00,11:00,0,0,0
10052019,11:00,12:00,0,0,0
10052019,12:00,13:00,0,0,0
10052019,13:00,14:00,0,0,0
10052019,14:00,15:00,0,0,0
10052019,15:00,16:00,0,0,0
10052019,16:00,17:00,0,0,0
10052019,17:00,18:00,0,0,0
10052019,18:00,19:00,0,0,0
10052019,19:00,20:00,0,0,0
10052019,20:00,21:00,0,0,0
10052019,21:00,22:00,0,0,0
10052019,22:00,23:00,0,0,0
10052019,23:00,00:00,0,0,0
11052019,00:00,01:00,0,0,0
11052019,01:00,02:00,0,0,0
11052019,02:00,03:00,0,0,0
11052019,03:00,04:00,0,0,0
11052019,04:00,05:00,0,0,0
11052019,05:00,06:00,0,0,0
11052019,06:00,07:00,0,0,0
11052019,07:00,08:00,0,0,0
11052019,08:00,09:00,0,0,0
11052019,09:00,10:00,0,0,0
11052019,10:00,11:00,0,0,0
11052019,11:00,12:00,0,0,0
11052019,12:00,13:00,0,0,0
11052019,13:00,14:00,0,0,0
11052019,14:00,15:00,0,0,0
11052019,15:00,16:00,0,0,0
11052019,16:00,17:00,0,0,0
11052019,17:00,18:00,0,0,0
11052019,18:00,19:00,0,0,0
11052019,19:00,20:00,0,0,0
11052019,20:00,21:00,0,0,0
11052019,21:00,22:00,0,0,0
11052019,22:00,23:00,0,0,0
11052019,23:00,00:00,0,0,0
12052019,00:00,01:00,0,0,0
12052019,01:00,02:00,0,0,0
12052019,02:00,03:00,0,0,0
12052019,03:00,04:00,0,0,0
12052019,04:00,05:00,0,0,0
12052019,05:00,06:00,0,0,0
12052019,06:00,07:00,0,0,0
